Column1;Name;Querylist
332;Ola Rosendahl;['Ola Rosendahl*', 'Ola Rosendahl']
333;Jouko Laxell;['Jouko Laxell*', 'Jouko Laxell']
334;Marko Asell;['Marko Asell*', 'Marko Asell']
335;Leena Harkimo;['Leena Harkimo*', 'Leena Harkimo']
336;Raija Vahasalo;['Raija Vahasalo*', 'Raija Vahasalo']
337;Juha Karpio;['Juha Karpio*', 'Juha Karpio']
338;Maija Perho;['Maija Perho*', 'Maija Perho']
339;Petri Salo;['Petri Salo*', 'Petri Salo']
340;Veijo Puhjo;['Veijo Puhjo*', 'Veijo Puhjo']
341;Jaakko Laakso;['Jaakko Laakso*', 'Jaakko Laakso']
342;Esko Aho;['Esko Aho*', 'Esko Aho']
343;Hannu Aho;['Hannu Aho*', 'Hannu Aho']
344;Aulis Ranta-Muotio;['Aulis Ranta-Muotio*', 'Aulis Ranta-Muotio']
345;Mauri Salo;['Mauri Salo*', 'Mauri Salo']
346;Heli Paasio;['Heli Paasio*', 'Heli Paasio']
347;Mikko Elo;['Mikko Elo*', 'Mikko Elo']
348;Reijo Kallio;['Reijo Kallio*', 'Reijo Kallio']
349;Tarja Kautto;['Tarja Kauto*', 'Tarja Kautto*']
350;Pirkko Peltomo;['Pirkko Peltomo*', 'Pirkko Peltomo']
351;Virpa Puisto;['Virpa Puisto*', 'Virpa Puisto']
352;Mikko Alatalo;['Mikko Alatalo*', 'Mikko Alatalo']
353;Arja Alho;['Arja Alho*', 'Arja Alho']
354;Kauko Juhantalo;['Kauko Juhantalo*', 'Kauko Juhantalo']
355;Sirpa Paatero;['Sirpa Paatero*', 'Sirpa Paatero']
356;Paula Risikko;['Paula Risikko*', 'Paula Risikko']
357;Satu Taiveaho;['Satu Taiveaho*', 'Satu Taiveaho']
358;Outi Alanko-Kahiluoto;['Outi Alanko-Kahiluoto*', 'Outi Alanko-Kahiluoto']
359;Risto Autio;['Risto Autio*', 'Risto Autio']
360;Pekka Haavisto;['Pekka Haavisto*', 'Pekka Haavisto']
361;Ulla Karvo;['Ulla Karvo*', 'Ulla Karvo']
362;Timo Kaunisto;['Timo Kaunisto*', 'Timo Kaunisto']
363;Merja Kuusisto;['Merja Kuusisto*', 'Merja Kuusisto']
364;Juha Mieto;['Juha Mieto*', 'Juha Mieto']
365;Petteri Orpo;['Petteri Orpo*', 'Petteri Orpo']
366;Paula Sihto;['Paula Sihto*', 'Paula Sihto']
367;Jyrki Yrttiaho;['Jyrki Yrttiaho*', 'Jyrki Yrttiaho']
368;Heikki Autto;['Heikki Auto*', 'Heikki Autto*']
369;Jussi Halla-aho;['Jussi Halla-aho*', 'Jussi Halla-aho']
370;Reijo Hongisto;['Reijo Hongisto*', 'Reijo Hongisto']
371;Osmo Kokko;['Osmo Koko*', 'Osmo Kokko*']
372;Mika Niikko;['Mika Niiko*', 'Mika Niikko*']
373;Annika Saarikko;['Annika Saariko*', 'Annika Saarikko*']
