,name,party,firstname,lastname,position,years,key
105,"Päivi, Lipponen",SDP,Päivi,Lipponen, ,2007-2011,Päivi_Lipponen
106,"Hannes, Manninen",Keskusta,Hannes,Manninen, ,2007-2011,Hannes_Manninen
107,"Marjo, Matikainen-Kallström",Kokoomus,Marjo,Matikainen-Kallström, ,2007-2011,Marjo_Matikainen-Kallström
108,"Juha, Mieto",Keskusta,Juha,Mieto, ,2007-2011,Juha_Mieto
109,"Markus, Mustajärvi",Vasemmistoliitto,Markus,Mustajärvi, ,2007-2011,Markus_Mustajärvi
110,"Jukka, Mäkelä",Kokoomus,Jukka,Mäkelä, ,2007-2011,Jukka_Mäkelä
111,"Outi, Mäkelä",Kokoomus,Outi,Mäkelä, ,2007-2011,Outi_Mäkelä
112,"Tapani, Mäkinen",Kokoomus,Tapani,Mäkinen, ,2007-2011,Tapani_Mäkinen
113,"Elisabeth, Nauclér",RKP,Elisabeth,Nauclér, ,2007-2011,Elisabeth_Nauclér
114,"Olli, Nepponen",Kokoomus,Olli,Nepponen, ,2007-2011,Olli_Nepponen
115,"Sauli, Niinistö",Kokoomus,Sauli,Niinistö, ,2007-2011,Sauli_Niinistö
116,"Ville, Niinistö",Vihreät,Ville,Niinistö, ,2007-2011,Ville_Niinistö
117,"Håkan, Nordman",RKP,Håkan,Nordman, ,2007-2011,Håkan_Nordman
118,"Tuija, Nurmi",Kokoomus,Tuija,Nurmi, ,2007-2011,Tuija_Nurmi
119,"Mikaela, Nylander",RKP,Mikaela,Nylander, ,2007-2011,Mikaela_Nylander
120,"Mats, Nylund",RKP,Mats,Nylund, ,2007-2011,Mats_Nylund
121,"Lauri, Oinonen",Keskusta,Lauri,Oinonen, ,2007-2011,Lauri_Oinonen
122,"Pentti, Juhani",Perussuomalaiset,Pentti,Juhani, ,2007-2011,Pentti_Juhani
123,"Johanna, Ojala-Niemelä",SDP,Johanna,Ojala-Niemelä, ,2007-2011,Johanna_Ojala-Niemelä
124,"Kirsi, Ojansuu",Vihreät,Kirsi,Ojansuu, ,2007-2011,Kirsi_Ojansuu
125,"Heikki, Ollila",Kokoomus,Heikki,Ollila, ,2007-2011,Heikki_Ollila
126,"Petteri, Orpo",Kokoomus,Petteri,Orpo, ,2007-2011,Petteri_Orpo
127,"Reijo, Paajanen",Kokoomus,Reijo,Paajanen, ,2007-2011,Reijo_Paajanen
128,"Heli, Paasio",SDP,Heli,Paasio, ,2007-2011,Heli_Paasio
129,"Sirpa, Paatero",SDP,Sirpa,Paatero, ,2007-2011,Sirpa_Paatero
130,"Markku, Pakkanen",Keskusta,Markku,Pakkanen, ,2007-2011,Markku_Pakkanen
131,"Sari, Palm",Kristillisdemokraatit,Sari,Palm, ,2007-2011,Sari_Palm
132,"Aila, Paloniemi",Keskusta,Aila,Paloniemi, ,2007-2011,Aila_Paloniemi
133,"Mauri, Pekkarinen",Keskusta,Mauri,Pekkarinen, Ministeri sisäasiainministeriössä;; Kauppa- ja teollisuusministeri;; Elinkeinoministeri;;Elinkeinoministeri;;,2007-2011,Mauri_Pekkarinen
134,"Tuula, Peltonen",SDP,Tuula,Peltonen, ,2007-2011,Tuula_Peltonen
135,"Klaus, Pentti",Keskusta,Klaus,Pentti, ,2007-2011,Klaus_Pentti
136,"Sanna, Perkiö",Kokoomus,Sanna,Perkiö, ,2007-2011,Sanna_Perkiö
137,"Petri, Pihlajaniemi",Kokoomus,Petri,Pihlajaniemi, ,2007-2011,Petri_Pihlajaniemi
138,"Raimo, Piirainen",SDP,Raimo,Piirainen, ,2007-2011,Raimo_Piirainen
139,"Veijo, Puhjo",Vasemmistoliitto,Veijo,Puhjo, ,2007-2011,Veijo_Puhjo
140,"Erkki, Pulliainen",Vihreät,Erkki,Pulliainen, ,2007-2011,Erkki_Pulliainen
141,"Tuomo, Puumala",Keskusta,Tuomo,Puumala, ,2007-2011,Tuomo_Puumala
142,"Lyly, Rajala",Kokoomus,Lyly,Rajala, ,2007-2011,Lyly_Rajala
143,"Kari, Rajamäki",SDP,Kari,Rajamäki, ,2007-2011,Kari_Rajamäki
144,"Antti, Rantakangas",Keskusta,Antti,Rantakangas, ,2007-2011,Antti_Rantakangas
145,"Leena, Rauhala",Kristillisdemokraatit,Leena,Rauhala, ,2007-2011,Leena_Rauhala
146,"Pekka, Ravi",Kokoomus,Pekka,Ravi, ,2007-2011,Pekka_Ravi
147,"Juha, Rehula",Keskusta,Juha,Rehula, Sosiaali- ja terveysministeri;;Sosiaali- ja terveysministeri;;,2007-2011,Juha_Rehula
148,"Eero, Reijonen",Keskusta,Eero,Reijonen, ,2007-2011,Eero_Reijonen
149,"Paula, Risikko",Kokoomus,Paula,Risikko, Peruspalveluministeri;; Ministeri ympäristöministeriössä;;Peruspalveluministeri;;,2007-2011,Paula_Risikko
150,"Markku, Rossi",Keskusta,Markku,Rossi, ,2007-2011,Markku_Rossi
151,"Pirkko, Ruohonen-Lerner",Perussuomalaiset,Pirkko,Ruohonen-Lerner, ,2007-2011,Pirkko_Ruohonen-Lerner
152,"Päivi, Räsänen",Kristillisdemokraatit,Päivi,Räsänen, ,2007-2011,Päivi_Räsänen
153,"Tero, Rönni",SDP,Tero,Rönni, ,2007-2011,Tero_Rönni
154,"Matti, Saarinen",SDP,Matti,Saarinen, ,2007-2011,Matti_Saarinen
155,"Pertti, Salolainen",Kokoomus,Pertti,Salolainen, ,2007-2011,Pertti_Salolainen
156,"Petri, Salo",Kokoomus,Petri,Salo, ,2007-2011,Petri_Salo
157,"Pertti, Salovaara",Keskusta,Pertti,Salovaara, ,2007-2011,Pertti_Salovaara
158,"Sari, Sarkomaa",Kokoomus,Sari,Sarkomaa, Opetusministeri;;,2007-2011,Sari_Sarkomaa
159,"Kimmo, Sasi",Kokoomus,Kimmo,Sasi, ,2007-2011,Kimmo_Sasi
160,"Arto, Satonen",Kokoomus,Arto,Satonen, ,2007-2011,Arto_Satonen
161,"Janne, Seurujärvi",Keskusta,Janne,Seurujärvi, ,2007-2011,Janne_Seurujärvi
162,"Paula, Sihto",Keskusta,Paula,Sihto, ,2007-2011,Paula_Sihto
163,"Anni, Sinnemäki",Vihreät,Anni,Sinnemäki, Työministeri;;Työministeri;;,2007-2011,Anni_Sinnemäki
164,"Minna, Sirnö",Vasemmistoliitto,Minna,Sirnö, ,2007-2011,Minna_Sirnö
165,"Jouko, Skinnari",SDP,Jouko,Skinnari, ,2007-2011,Jouko_Skinnari
166,"Timo, Soini",Perussuomalaiset,Timo,Soini, ,2007-2011,Timo_Soini
167,"Johanna, Sumuvuori",Vihreät,Johanna,Sumuvuori, ,2007-2011,Johanna_Sumuvuori
168,"Seppo, Särkiniemi",Keskusta,Seppo,Särkiniemi, ,2007-2011,Seppo_Särkiniemi
169,"Jacob, Söderman",SDP,Jacob,Söderman, ,2007-2011,Jacob_Söderman
170,"Tommy, Tabermann",SDP,Tommy,Tabermann, ,2007-2011,Tommy_Tabermann
171,"Katja, Taimela",SDP,Katja,Taimela, ,2007-2011,Katja_Taimela
172,"Satu, Taiveaho",SDP,Satu,Taiveaho, ,2007-2011,Satu_Taiveaho
173,"Tarja, Tallqvist",Kristillisdemokraatit,Tarja,Tallqvist, ,2007-2011,Tarja_Tallqvist
174,"Esko-Juhani, Tennilä",Vasemmistoliitto,Esko-Juhani,Tennilä, ,2007-2011,Esko-Juhani_Tennilä
175,"Astrid, Thors",RKP,Astrid,Thors, Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;; Ministeri työministeriössä;;Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;;,2007-2011,Astrid_Thors
176,"Kimmo, Tiilikainen",Keskusta,Kimmo,Tiilikainen, Ympäristöministeri;;,2007-2011,Kimmo_Tiilikainen
177,"Marja, Tiura",Kokoomus,Marja,Tiura, ,2007-2011,Marja_Tiura
178,"Pentti, Tiusanen",Vasemmistoliitto,Pentti,Tiusanen, ,2007-2011,Pentti_Tiusanen
179,"Lenita, Toivakka",Kokoomus,Lenita,Toivakka, ,2007-2011,Lenita_Toivakka
180,"Erkki, Tuomioja",SDP,Erkki,Tuomioja, ,2007-2011,Erkki_Tuomioja
181,"Oras, Tynkkynen",Vihreät,Oras,Tynkkynen, ,2007-2011,Oras_Tynkkynen
182,"Tapani, Tölli",Keskusta,Tapani,Tölli, Hallinto- ja kuntaministeri;;,2007-2011,Tapani_Tölli
183,"Tuulikki, Ukkola",Kokoomus,Tuulikki,Ukkola, ,2007-2011,Tuulikki_Ukkola
184,"Kari, Uotila",Vasemmistoliitto,Kari,Uotila, ,2007-2011,Kari_Uotila
185,"Jutta, Urpilainen",SDP,Jutta,Urpilainen, ,2007-2011,Jutta_Urpilainen
186,"Markku, Uusipaavalniemi",Keskusta,Markku,Uusipaavalniemi, ,2007-2011,Markku_Uusipaavalniemi
187,"Raija, Vahasalo",Kokoomus,Raija,Vahasalo, ,2007-2011,Raija_Vahasalo
188,"Unto, Valpas",Vasemmistoliitto,Unto,Valpas, ,2007-2011,Unto_Valpas
189,"Matti, Vanhanen",Keskusta,Matti,Vanhanen, Pääministeri;;,2007-2011,Matti_Vanhanen
190,"Jan, Vapaavuori",Kokoomus,Jan,Vapaavuori, Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;,2007-2011,Jan_Vapaavuori
191,"Mirja, Vehkaperä",Keskusta,Mirja,Vehkaperä, ,2007-2011,Mirja_Vehkaperä
192,"Anu, Vehviläinen",Keskusta,Anu,Vehviläinen, Liikenneministeri;;Liikenneministeri;;,2007-2011,Anu_Vehviläinen
193,"Pauliina, Viitamies",SDP,Pauliina,Viitamies, ,2007-2011,Pauliina_Viitamies
194,"Pia, Viitanen",SDP,Pia,Viitanen, ,2007-2011,Pia_Viitanen
195,"Ilkka, Viljanen",Kokoomus,Ilkka,Viljanen, ,2007-2011,Ilkka_Viljanen
196,"Pekka, Vilkuna",Keskusta,Pekka,Vilkuna, ,2007-2011,Pekka_Vilkuna
197,"Henna, Virkkunen",Kokoomus,Henna,Virkkunen, Opetusministeri;; Opetusministeri;;Opetusministeri;;,2007-2011,Henna_Virkkunen
198,"Anne-Mari, Virolainen",Kokoomus,Anne-Mari,Virolainen, ,2007-2011,Anne-Mari_Virolainen
199,"Erkki, Virtanen",Vasemmistoliitto,Erkki,Virtanen, ,2007-2011,Erkki_Virtanen
200,"Pertti, Virtanen",Perussuomalaiset,Pertti,Virtanen, ,2007-2011,Pertti_Virtanen
201,"Raimo, Vistbacka",Perussuomalaiset,Raimo,Vistbacka, ,2007-2011,Raimo_Vistbacka
202,"Antti, Vuolanne",SDP,Antti,Vuolanne, ,2007-2011,Antti_Vuolanne
203,"Paavo, Väyrynen",Keskusta,Paavo,Väyrynen, Ulkomaankauppa- ja kehitysministeri;;Ulkomaankauppa- ja kehitysministeri;;,2007-2011,Paavo_Väyrynen
204,"Tuula, Väätäinen",SDP,Tuula,Väätäinen, ,2007-2011,Tuula_Väätäinen
205,"Stefan, Wallin",RKP,Stefan,Wallin, Kulttuuri- ja urheiluministeri;; Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;,2007-2011,Stefan_Wallin
206,"Ulla-Maj, Wideroos",RKP,Ulla-Maj,Wideroos, ,2007-2011,Ulla-Maj_Wideroos
207,"Jyrki, Yrttiaho",Vasemmistoliitto,Jyrki,Yrttiaho, ,2007-2011,Jyrki_Yrttiaho
208,"Ben, Zyskowicz",Kokoomus,Ben,Zyskowicz, ,2007-2011,Ben_Zyskowicz
0,"Ahvenjärvi, Sauli",Kristillisdemokraatit,Sauli,Ahvenjärvi, ,2011-2015,Sauli_Ahvenjärvi
1,"Alanko-Kahiluoto, Outi",Vihreät,Outi,Alanko-Kahiluoto, ,2011-2015,Outi_Alanko-Kahiluoto
2,"Alatalo, Mikko",Keskusta,Mikko,Alatalo, ,2011-2015,Mikko_Alatalo
3,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, ,2011-2015,Sirkka-Liisa_Anttila
4,"Arhinmäki, Paavo",Vasemmistoliitto,Paavo,Arhinmäki, Kulttuuri- ja urheiluministeri;;,2011-2015,Paavo_Arhinmäki
5,"Autto, Heikki",Kokoomus,Heikki,Autto, ,2011-2015,Heikki_Autto
6,"Backman, Jouni",SDP,Jouni,Backman, ,2011-2015,Jouni_Backman
7,"Blomqvist, Thomas",RKP,Thomas,Blomqvist, ,2011-2015,Thomas_Blomqvist
8,"Brax, Tuija",Vihreät,Tuija,Brax, ,2011-2015,Tuija_Brax
9,"Donner, Jörn",RKP,Jörn,Donner, ,2011-2015,Jörn_Donner
10,"Eerola, Juho",Perussuomalaiset,Juho,Eerola, ,2011-2015,Juho_Eerola
11,"Eestilä, Markku",Kokoomus,Markku,Eestilä, ,2011-2015,Markku_Eestilä
12,"Elomaa, Ritva",Perussuomalaiset,Ritva,Elomaa, ,2011-2015,Ritva_Elomaa
13,"Eloranta, Eeva-Johanna",SDP,Eeva-Johanna,Eloranta, ,2011-2015,Eeva-Johanna_Eloranta
14,"Feldt-Ranta, Maarit",SDP,Maarit,Feldt-Ranta, ,2011-2015,Maarit_Feldt-Ranta
15,"Filatov, Tarja",SDP,Tarja,Filatov, ,2011-2015,Tarja_Filatov
16,"Gestrin, Christina",RKP,Christina,Gestrin, ,2011-2015,Christina_Gestrin
17,"Grahn-Laasonen, Sanni",Kokoomus,Sanni,Grahn-Laasonen, Ympäristöministeri;;,2011-2015,Sanni_Grahn-Laasonen
18,"Gustafsson, Jukka",SDP,Jukka,Gustafsson, Opetusministeri;;,2011-2015,Jukka_Gustafsson
19,"Guzenina-Richardson, Maria",SDP,Maria,Guzenina-Richardson, Peruspalveluministeri;;,2011-2015,Maria_Guzenina-Richardson
20,"Gästgivars, Lars",RKP,Lars,Gästgivars, ,2011-2015,Lars_Gästgivars
21,"Haapanen, Satu",Vihreät,Satu,Haapanen, ,2011-2015,Satu_Haapanen
22,"Haavisto, Pekka",Vihreät,Pekka,Haavisto, Kehitysministeri;;Kehitysministeri;;,2011-2015,Pekka_Haavisto
23,"Hakkarainen, Teuvo",Perussuomalaiset,Teuvo,Hakkarainen, ,2011-2015,Teuvo_Hakkarainen
24,"Halla-aho, Jussi",Perussuomalaiset,Jussi,Halla-aho, ,2011-2015,Jussi_Halla-aho
25,"Harkimo, Leena",Kokoomus,Leena,Harkimo, ,2011-2015,Leena_Harkimo
26,"Hautala, Lasse",Keskusta,Lasse,Hautala, ,2011-2015,Lasse_Hautala
27,"Heikkilä, Lauri",Perussuomalaiset,Lauri,Heikkilä, ,2011-2015,Lauri_Heikkilä
28,"Heinonen, Timo",Kokoomus,Timo,Heinonen, ,2011-2015,Timo_Heinonen
29,"Heinäluoma, Eero",SDP,Eero,Heinäluoma, ,2011-2015,Eero_Heinäluoma
30,"Hemmilä, Pertti",Kokoomus,Pertti,Hemmilä, ,2011-2015,Pertti_Hemmilä
31,"Henriksson, Anna-Maja",RKP,Anna-Maja,Henriksson, Oikeusministeri;;Oikeusministeri;;,2011-2015,Anna-Maja_Henriksson
32,"Hiltunen, Rakel",SDP,Rakel,Hiltunen, ,2011-2015,Rakel_Hiltunen
33,"Hirvisaari, James",m11,James,Hirvisaari, ,2011-2015,James_Hirvisaari
34,"Holmlund, Anne",Kokoomus,Anne,Holmlund, ,2011-2015,Anne_Holmlund
35,"Hongisto, Reijo",Perussuomalaiset,Reijo,Hongisto, ,2011-2015,Reijo_Hongisto
36,"Huovinen, Susanna",SDP,Susanna,Huovinen, Peruspalveluministeri;;Peruspalveluministeri;;,2011-2015,Susanna_Huovinen
37,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, Elinkeinoministeri;;,2011-2015,Jyri_Häkämies
38,"Hänninen, Katja",Vasemmistoliitto,Katja,Hänninen, ,2011-2015,Katja_Hänninen
39,"Ihalainen, Lauri",SDP,Lauri,Ihalainen, Työministeri;;Työministeri;;,2011-2015,Lauri_Ihalainen
40,"Immonen, Olli",Perussuomalaiset,Olli,Immonen, ,2011-2015,Olli_Immonen
41,"Jalonen, Ari",Perussuomalaiset,Ari,Jalonen, ,2011-2015,Ari_Jalonen
42,"Jaskari, Harri",Kokoomus,Harri,Jaskari, ,2011-2015,Harri_Jaskari
43,"Jokinen, Kalle",Kokoomus,Kalle,Jokinen, ,2011-2015,Kalle_Jokinen
44,"Joutsenlahti, Anssi",Perussuomalaiset,Anssi,Joutsenlahti, ,2011-2015,Anssi_Joutsenlahti
45,"Jungner, Mikael",SDP,Mikael,Jungner, ,2011-2015,Mikael_Jungner
46,"Jurva, Johanna",Perussuomalaiset,Johanna,Jurva, ,2011-2015,Johanna_Jurva
47,"Juvonen, Arja",Perussuomalaiset,Arja,Juvonen, ,2011-2015,Arja_Juvonen
48,"Jääskeläinen, Jouko",Kristillisdemokraatit,Jouko,Jääskeläinen, ,2011-2015,Jouko_Jääskeläinen
49,"Jääskeläinen, Pietari",Perussuomalaiset,Pietari,Jääskeläinen, ,2011-2015,Pietari_Jääskeläinen
50,"Kaikkonen, Antti",Keskusta,Antti,Kaikkonen, ,2011-2015,Antti_Kaikkonen
51,"Kalli, Timo",Keskusta,Timo,Kalli, ,2011-2015,Timo_Kalli
52,"Kalliorinne, Risto",Vasemmistoliitto,Risto,Kalliorinne, ,2011-2015,Risto_Kalliorinne
53,"Kalmari, Anne",Keskusta,Anne,Kalmari, ,2011-2015,Anne_Kalmari
54,"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva, ,2011-2015,Ilkka_Kanerva
55,"Kantola, Ilkka",SDP,Ilkka,Kantola, ,2011-2015,Ilkka_Kantola
56,"Karhu, Saara",SDP,Saara,Karhu, ,2011-2015,Saara_Karhu
57,"Kari, Mika",SDP,Mika,Kari, ,2011-2015,Mika_Kari
58,"Karimäki, Johanna",Vihreät,Johanna,Karimäki, ,2011-2015,Johanna_Karimäki
59,"Katainen, Elsi",Keskusta,Elsi,Katainen, ,2011-2015,Elsi_Katainen
60,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, Pääministeri;;,2011-2015,Jyrki_Katainen
61,"Kataja, Sampsa",Kokoomus,Sampsa,Kataja, ,2011-2015,Sampsa_Kataja
62,"Kauma, Pia",Kokoomus,Pia,Kauma, ,2011-2015,Pia_Kauma
63,"Kerola, Inkeri",Keskusta,Inkeri,Kerola, ,2011-2015,Inkeri_Kerola
64,"Kettunen, Pentti",Perussuomalaiset,Pentti,Kettunen, ,2011-2015,Pentti_Kettunen
65,"Kiljunen, Anneli",SDP,Anneli,Kiljunen, ,2011-2015,Anneli_Kiljunen
66,"Kiuru, Krista",SDP,Krista,Kiuru, Opetus- ja viestintäministeri;; Opetusministeri;; Asunto- ja viestintäministeri;;Opetus- ja viestintäministeri;;,2011-2015,Krista_Kiuru
67,"Kiuru, Pauli",Kokoomus,Pauli,Kiuru, ,2011-2015,Pauli_Kiuru
68,"Kivelä, Kimmo",Perussuomalaiset,Kimmo,Kivelä, ,2011-2015,Kimmo_Kivelä
69,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, ,2011-2015,Mari_Kiviniemi
70,"Kiviranta, Esko",Keskusta,Esko,Kiviranta, ,2011-2015,Esko_Kiviranta
71,"Kokko, Osmo",Perussuomalaiset,Osmo,Kokko, ,2011-2015,Osmo_Kokko
72,"Komi, Katri",Keskusta,Katri,Komi, ,2011-2015,Katri_Komi
73,"Kontula, Anna",Vasemmistoliitto,Anna,Kontula, ,2011-2015,Anna_Kontula
74,"Kopra, Jukka",Kokoomus,Jukka,Kopra, ,2011-2015,Jukka_Kopra
75,"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen, ,2011-2015,Martti_Korhonen
76,"Korhonen, Timo",Keskusta,Timo,Korhonen, ,2011-2015,Timo_Korhonen
77,"Koskela, Laila",Keskusta,Laila,Koskela, ,2011-2015,Laila_Koskela
78,"Koskinen, Johannes",SDP,Johannes,Koskinen, ,2011-2015,Johannes_Koskinen
79,"Kumpula-Natri, Miapetra",SDP,Miapetra,Kumpula-Natri, ,2011-2015,Miapetra_Kumpula-Natri
80,"Kurvinen, Esko",Kokoomus,Esko,Kurvinen, ,2011-2015,Esko_Kurvinen
81,"Kuusisto, Merja",SDP,Merja,Kuusisto, ,2011-2015,Merja_Kuusisto
82,"Kyllönen, Merja",Vasemmistoliitto,Merja,Kyllönen, Liikenneministeri;;,2011-2015,Merja_Kyllönen
83,"Kymäläinen, Suna",SDP,Suna,Kymäläinen, ,2011-2015,Suna_Kymäläinen
84,"Kärnä, Jukka",SDP,Jukka,Kärnä, ,2011-2015,Jukka_Kärnä
85,"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen, ,2011-2015,Seppo_Kääriäinen
86,"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie, ,2011-2015,Annika_Lapintie
87,"Lauslahti, Sanna",Kokoomus,Sanna,Lauslahti, ,2011-2015,Sanna_Lauslahti
88,"Lehti, Eero",Kokoomus,Eero,Lehti, ,2011-2015,Eero_Lehti
89,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, ,2011-2015,Paula_Lehtomäki
90,"Lepomäki, Elina",Kokoomus,Elina,Lepomäki, ,2011-2015,Elina_Lepomäki
91,"Leppä, Jari",Keskusta,Jari,Leppä, ,2011-2015,Jari_Leppä
92,"Lindström, Jari",Perussuomalaiset,Jari,Lindström, ,2011-2015,Jari_Lindström
93,"Lindtman, Antti",SDP,Antti,Lindtman, ,2011-2015,Antti_Lindtman
94,"Lintilä, Mika",Keskusta,Mika,Lintilä, ,2011-2015,Mika_Lintilä
95,"Lipponen, Päivi",SDP,Päivi,Lipponen, ,2011-2015,Päivi_Lipponen
96,"Lohela, Maria",Perussuomalaiset,Maria,Lohela, ,2011-2015,Maria_Lohela
97,"Lohi, Markus",Keskusta,Markus,Lohi, ,2011-2015,Markus_Lohi
98,"Louhelainen, Anne",Perussuomalaiset,Anne,Louhelainen, ,2011-2015,Anne_Louhelainen
99,"Maijala, Eeva-Maria",Keskusta,Eeva-Maria,Maijala, ,2011-2015,Eeva-Maria_Maijala
100,"Matikainen-Kallström, Marjo",Kokoomus,Marjo,Matikainen-Kallström, ,2011-2015,Marjo_Matikainen-Kallström
101,"Mattila, Pirkko",Perussuomalaiset,Pirkko,Mattila, ,2011-2015,Pirkko_Mattila
102,"Modig, Silvia",Vasemmistoliitto,Silvia,Modig, ,2011-2015,Silvia_Modig
103,"Mustajärvi, Markus",Vasenryhmä,Markus,Mustajärvi, ,2011-2015,Markus_Mustajärvi
104,"Myller, Riitta",SDP,Riitta,Myller, ,2011-2015,Riitta_Myller
105,"Myllykoski, Jari",Vasemmistoliitto,Jari,Myllykoski, ,2011-2015,Jari_Myllykoski
106,"Mäkelä, Outi",Kokoomus,Outi,Mäkelä, ,2011-2015,Outi_Mäkelä
107,"Mäkinen, Tapani",Kokoomus,Tapani,Mäkinen, ,2011-2015,Tapani_Mäkinen
108,"Mäkipää, Lea",Perussuomalaiset,Lea,Mäkipää, ,2011-2015,Lea_Mäkipää
109,"Mäkisalo-Ropponen, Merja",SDP,Merja,Mäkisalo-Ropponen, ,2011-2015,Merja_Mäkisalo-Ropponen
110,"Männistö, Lasse",Kokoomus,Lasse,Männistö, ,2011-2015,Lasse_Männistö
111,"Mäntylä, Hanna",Perussuomalaiset,Hanna,Mäntylä, ,2011-2015,Hanna_Mäntylä
112,"Mäntymaa, Markku",Kokoomus,Markku,Mäntymaa, ,2011-2015,Markku_Mäntymaa
113,"Mölsä, Martti",Perussuomalaiset,Martti,Mölsä, ,2011-2015,Martti_Mölsä
114,"Nauclér, Elisabeth",RKP,Elisabeth,Nauclér, ,2011-2015,Elisabeth_Nauclér
115,"Niikko, Mika",Perussuomalaiset,Mika,Niikko, ,2011-2015,Mika_Niikko
116,"Niinistö, Jussi",Perussuomalaiset,Jussi,Niinistö, ,2011-2015,Jussi_Niinistö
117,"Niinistö, Ville",Vihreät,Ville,Niinistö, Ympäristöministeri;;Ympäristöministeri;;,2011-2015,Ville_Niinistö
118,"Nylander, Mikaela",RKP,Mikaela,Nylander, ,2011-2015,Mikaela_Nylander
119,"Nylund, Mats",RKP,Mats,Nylund, ,2011-2015,Mats_Nylund
120,"Oinonen, Pentti",Perussuomalaiset,Pentti,Oinonen, ,2011-2015,Pentti_Oinonen
121,"Ojala-Niemelä, Johanna",SDP,Johanna,Ojala-Niemelä, ,2011-2015,Johanna_Ojala-Niemelä
122,"Orpo, Petteri",Kokoomus,Petteri,Orpo, Maa- ja metsätalousministeri;;,2011-2015,Petteri_Orpo
123,"Paasio, Heli",SDP,Heli,Paasio, ,2011-2015,Heli_Paasio
124,"Paatero, Sirpa",SDP,Sirpa,Paatero, Kehitysministeri;;,2011-2015,Sirpa_Paatero
125,"Packalén, Tom",Perussuomalaiset,Tom,Packalén, ,2011-2015,Tom_Packalén
126,"Palm, Sari",Kristillisdemokraatit,Sari,Palm, ,2011-2015,Sari_Palm
127,"Palola, Mikael",Kokoomus,Mikael,Palola, ,2011-2015,Mikael_Palola
128,"Paloniemi, Aila",Keskusta,Aila,Paloniemi, ,2011-2015,Aila_Paloniemi
129,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, ,2011-2015,Mauri_Pekkarinen
130,"Pekonen, Aino-Kaisa",Vasemmistoliitto,Aino-Kaisa,Pekonen, ,2011-2015,Aino-Kaisa_Pekonen
131,"Pelkonen, Jaana",Kokoomus,Jaana,Pelkonen, ,2011-2015,Jaana_Pelkonen
132,"Peltokorpi, Terhi",Keskusta,Terhi,Peltokorpi, ,2011-2015,Terhi_Peltokorpi
133,"Peltonen, Tuula",SDP,Tuula,Peltonen, ,2011-2015,Tuula_Peltonen
134,"Piirainen, Raimo",SDP,Raimo,Piirainen, ,2011-2015,Raimo_Piirainen
135,"Pirttilahti, Arto",Keskusta,Arto,Pirttilahti, ,2011-2015,Arto_Pirttilahti
136,"Puumala, Tuomo",Keskusta,Tuomo,Puumala, ,2011-2015,Tuomo_Puumala
137,"Raatikainen, Mika",Perussuomalaiset,Mika,Raatikainen, ,2011-2015,Mika_Raatikainen
138,"Rajamäki, Kari",SDP,Kari,Rajamäki, ,2011-2015,Kari_Rajamäki
139,"Rantakangas, Antti",Keskusta,Antti,Rantakangas, ,2011-2015,Antti_Rantakangas
140,"Rauhala, Leena",Kristillisdemokraatit,Leena,Rauhala, ,2011-2015,Leena_Rauhala
141,"Ravi, Pekka",Kokoomus,Pekka,Ravi, ,2011-2015,Pekka_Ravi
142,"Rehula, Juha",Keskusta,Juha,Rehula, ,2011-2015,Juha_Rehula
143,"Reijonen, Eero",Keskusta,Eero,Reijonen, ,2011-2015,Eero_Reijonen
144,"Risikko, Paula",Kokoomus,Paula,Risikko, Sosiaali- ja terveysministeri;;Liikenne- ja kuntaministeri;;,2011-2015,Paula_Risikko
145,"Rossi, Markku",Keskusta,Markku,Rossi, ,2011-2015,Markku_Rossi
146,"Rundgren, Simo",Keskusta,Simo,Rundgren, ,2011-2015,Simo_Rundgren
147,"Ruohonen-Lerner, Pirkko",Perussuomalaiset,Pirkko,Ruohonen-Lerner, ,2011-2015,Pirkko_Ruohonen-Lerner
148,"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen, Sisäasiainministeri;; Sisäministeri;;Sisäministeri;; Sisäministeri;;,2011-2015,Päivi_Räsänen
149,"Saarakkala, Vesa-Matti",Perussuomalaiset,Vesa-Matti,Saarakkala, ,2011-2015,Vesa-Matti_Saarakkala
